File Name,Model,Dataset,Accept Fn,Select Fn,Reverse Type,Initial Accuracy,Final Accuracy,Initial Loss,Final Loss
mcmc_gat_citeseer_constant_binary_attacked_results.pkl,GAT,CITESEER,CONSTANT,BINARY,ATTACKED,0.669,0.65,1.69743,1.71071
mcmc_gat_citeseer_constant_binary_reversed_results.pkl,GAT,CITESEER,CONSTANT,BINARY,REVERSED,0.669,0.663,1.69743,1.69328
mcmc_gat_citeseer_constant_decaying_attacked_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,ATTACKED,0.669,0.647,1.69743,1.73943
mcmc_gat_citeseer_constant_decaying_reversed_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,REVERSED,0.669,0.669,1.69743,1.70283
mcmc_gat_citeseer_increasing_attacked_results.pkl,GAT,CITESEER,INCREASING,NONE,ATTACKED,0.669,0.667,1.69743,1.67653
mcmc_gat_citeseer_increasing_binary_attacked_results.pkl,GAT,CITESEER,INCREASING,BINARY,ATTACKED,0.669,0.654,1.69743,1.7285
mcmc_gat_citeseer_increasing_binary_reversed_results.pkl,GAT,CITESEER,INCREASING,BINARY,REVERSED,0.669,0.662,1.69743,1.68899
mcmc_gat_citeseer_increasing_decaying_attacked_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,ATTACKED,0.669,0.666,1.69743,1.70452
mcmc_gat_citeseer_increasing_decaying_reversed_results.pkl,GAT,CITESEER,CONSTANT,DECAYING,REVERSED,0.669,0.675,1.69743,1.6971
mcmc_gat_cora_constant_binary_attacked_results.pkl,GAT,CORA,CONSTANT,BINARY,ATTACKED,0.779,0.767,0.90027,0.93814
mcmc_gat_cora_constant_binary_reversed_results.pkl,GAT,CORA,CONSTANT,BINARY,REVERSED,0.779,0.765,0.90027,0.9218
mcmc_gat_cora_constant_decaying_attacked_results.pkl,GAT,CORA,CONSTANT,DECAYING,ATTACKED,0.779,0.763,0.90027,0.96157
mcmc_gat_cora_constant_decaying_reversed_results.pkl,GAT,CORA,CONSTANT,DECAYING,REVERSED,0.779,0.765,0.90027,0.93057
mcmc_gat_cora_increasing_attacked_results.pkl,GAT,CORA,INCREASING,NONE,ATTACKED,0.779,0.769,0.90027,0.91937
mcmc_gat_cora_increasing_binary_attacked_results.pkl,GAT,CORA,INCREASING,BINARY,ATTACKED,0.779,0.758,0.90027,0.96673
mcmc_gat_cora_increasing_binary_reversed_results.pkl,GAT,CORA,INCREASING,BINARY,REVERSED,0.779,0.765,0.90027,0.92092
mcmc_gat_cora_increasing_decaying_attacked_results.pkl,GAT,CORA,CONSTANT,DECAYING,ATTACKED,0.779,0.767,0.90027,0.93431
mcmc_gat_cora_increasing_decaying_reversed_results.pkl,GAT,CORA,CONSTANT,DECAYING,REVERSED,0.779,0.769,0.90027,0.93432
mcmc_gcn_citeseer_constant_binary_attacked_results.pkl,GCN,CITESEER,CONSTANT,BINARY,ATTACKED,0.581,0.566,3.92137,3.96068
mcmc_gcn_citeseer_constant_binary_reversed_results.pkl,GCN,CITESEER,CONSTANT,BINARY,REVERSED,0.581,0.562,3.92137,4.00619
mcmc_gcn_citeseer_constant_decaying_attacked_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,ATTACKED,0.581,0.569,3.92137,3.98447
mcmc_gcn_citeseer_constant_decaying_reversed_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,REVERSED,0.581,0.568,3.92137,4.04769
mcmc_gcn_citeseer_increasing_attacked_results.pkl,GCN,CITESEER,INCREASING,NONE,ATTACKED,0.581,0.569,3.92137,3.97252
mcmc_gcn_citeseer_increasing_binary_attacked_results.pkl,GCN,CITESEER,INCREASING,BINARY,ATTACKED,0.581,0.566,3.92137,3.99005
mcmc_gcn_citeseer_increasing_binary_reversed_results.pkl,GCN,CITESEER,INCREASING,BINARY,REVERSED,0.581,0.562,3.92137,3.99098
mcmc_gcn_citeseer_increasing_decaying_attacked_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,ATTACKED,0.581,0.568,3.92137,3.96324
mcmc_gcn_citeseer_increasing_decaying_reversed_results.pkl,GCN,CITESEER,CONSTANT,DECAYING,REVERSED,0.581,0.565,3.92137,4.02228
mcmc_gcn_cora_constant_binary_attacked_results.pkl,GCN,CORA,CONSTANT,BINARY,ATTACKED,0.759,0.754,1.91192,1.93612
mcmc_gcn_cora_constant_binary_reversed_results.pkl,GCN,CORA,CONSTANT,BINARY,REVERSED,0.759,0.758,1.91192,1.94745
mcmc_gcn_cora_constant_decaying_attacked_results.pkl,GCN,CORA,CONSTANT,DECAYING,ATTACKED,0.759,0.747,1.91192,1.95092
mcmc_gcn_cora_constant_decaying_reversed_results.pkl,GCN,CORA,CONSTANT,DECAYING,REVERSED,0.759,0.756,1.91192,1.97563
mcmc_gcn_cora_increasing_attacked_results.pkl,GCN,CORA,INCREASING,NONE,ATTACKED,0.759,0.765,1.91192,1.9172
mcmc_gcn_cora_increasing_binary_attacked_results.pkl,GCN,CORA,INCREASING,BINARY,ATTACKED,0.759,0.749,1.91192,1.9305
mcmc_gcn_cora_increasing_binary_reversed_results.pkl,GCN,CORA,INCREASING,BINARY,REVERSED,0.759,0.756,1.91192,1.94205
mcmc_gcn_cora_increasing_decaying_attacked_results.pkl,GCN,CORA,CONSTANT,DECAYING,ATTACKED,0.759,0.748,1.91192,1.92252
mcmc_gcn_cora_increasing_decaying_reversed_results.pkl,GCN,CORA,CONSTANT,DECAYING,REVERSED,0.759,0.756,1.91192,1.9492
mcmc_gsage_citeseer_constant_binary_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,BINARY,ATTACKED,0.654,0.65,1.49537,1.50675
mcmc_gsage_citeseer_constant_binary_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,BINARY,REVERSED,0.654,0.648,1.49537,1.50993
mcmc_gsage_citeseer_constant_decaying_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,ATTACKED,0.654,0.649,1.49537,1.51991
mcmc_gsage_citeseer_constant_decaying_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,REVERSED,0.654,0.652,1.49537,1.51014
mcmc_gsage_citeseer_increasing_attacked_results.pkl,GSAGE,CITESEER,INCREASING,NONE,ATTACKED,0.654,0.651,1.49537,1.50901
mcmc_gsage_citeseer_increasing_binary_attacked_results.pkl,GSAGE,CITESEER,INCREASING,BINARY,ATTACKED,0.654,0.646,1.49537,1.508
mcmc_gsage_citeseer_increasing_binary_reversed_results.pkl,GSAGE,CITESEER,INCREASING,BINARY,REVERSED,0.654,0.652,1.49537,1.50975
mcmc_gsage_citeseer_increasing_decaying_attacked_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,ATTACKED,0.654,0.654,1.49537,1.49232
mcmc_gsage_citeseer_increasing_decaying_reversed_results.pkl,GSAGE,CITESEER,CONSTANT,DECAYING,REVERSED,0.654,0.655,1.49537,1.50999
mcmc_gsage_cora_constant_binary_attacked_results.pkl,GSAGE,CORA,CONSTANT,BINARY,ATTACKED,0.804,0.799,0.7111,0.71643
mcmc_gsage_cora_constant_binary_reversed_results.pkl,GSAGE,CORA,CONSTANT,BINARY,REVERSED,0.804,0.798,0.7111,0.71569
mcmc_gsage_cora_constant_decaying_attacked_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,ATTACKED,0.804,0.801,0.7111,0.71952
mcmc_gsage_cora_constant_decaying_reversed_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,REVERSED,0.804,0.8,0.7111,0.71961
mcmc_gsage_cora_increasing_attacked_results.pkl,GSAGE,CORA,INCREASING,NONE,ATTACKED,0.804,0.803,0.7111,0.71167
mcmc_gsage_cora_increasing_binary_attacked_results.pkl,GSAGE,CORA,INCREASING,BINARY,ATTACKED,0.804,0.797,0.7111,0.71985
mcmc_gsage_cora_increasing_binary_reversed_results.pkl,GSAGE,CORA,INCREASING,BINARY,REVERSED,0.804,0.8,0.7111,0.71545
mcmc_gsage_cora_increasing_decaying_attacked_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,ATTACKED,0.804,0.798,0.7111,0.72842
mcmc_gsage_cora_increasing_decaying_reversed_results.pkl,GSAGE,CORA,CONSTANT,DECAYING,REVERSED,0.804,0.804,0.7111,0.71943
